IP Address,Reputation,Latitude,Longitude
49.143.32.6,Malicious Host KR,37.5111999512,126.974098206
222.77.181.28,Malicious Host CN,24.4797992706,118.08190155
180.151.24.60,Malicious Host IN,,
157.61.212.1,Malicious Host CN,,
70.50.152.130,Malicious Host CA,,
193.169.252.158,Malicious Host PL,52.2393989563,21.0361995697
100.27.42.242,Malicious Host US,,
100.27.42.243,Malicious Host US,,
100.27.42.244,Malicious Host US,,
100.27.42.241,Malicious Host US,,
156.251.136.4,Malicious Host ZA,,
103.231.172.42,Malicious Host US,,
185.128.41.50,Malicious Host CH,47.1449012756,8.15509986877
45.146.164.110,Malicious Host ,47.1449012756,8.15509986877
4.71.37.45,Malicious Host US,,
4.71.37.46,Malicious Host US,,
210.13.110.60,Malicious Host CN,,
103.40.172.173,Malicious Host HK,22.25,114.166702271
203.248.175.71,Malicious Host KR,37.5111999512,126.974098206
203.248.175.72,Malicious Host KR,37.5111999512,126.974098206
216.4.95.61,Malicious Host US,34.0544013977,-118.244003296
140.206.86.124,Malicious Host CN,,
216.4.95.62,Malicious Host US,34.0544013977,-118.244003296
103.40.172.189,Malicious Host HK,22.25,114.166702271
202.129.58.130,Malicious Host TH,13.75,100.466697693
46.4.123.15,Malicious Host DE,51.2993011475,9.49100017548
59.63.207.69,Malicious Host CN,,
80.14.216.204,Malicious Host FR,48.8582000732,2.33870005608
43.251.99.6,Malicious Host ID,,
64.39.108.94,Malicious Host US,37.7509994507,-97.8219985962
78.142.18.56,Malicious Host BG,42.7000007629,23.3332996368
58.248.193.50,Malicious Host CN,,
81.250.169.249,Malicious Host FR,,
24.188.100.85,Malicious Host US,,
51.15.228.117,Malicious Host FR,48.8582000732,2.33870005608
122.147.62.76,Malicious Host TW,23.5,121.0
62.4.14.198,Malicious Host FR,48.8582000732,2.33870005608
202.164.139.229,Malicious Host IN,,
120.85.114.164,Malicious Host CN,,
103.37.3.58,Malicious Host CN,34.7724990845,113.726600647
112.27.124.145,Malicious Host CN,34.7724990845,113.726600647
120.85.113.253,Malicious Host CN,,
61.242.58.104,Malicious Host CN,,
111.92.116.45,Malicious Host IN,,
120.226.28.53,Malicious Host CN,34.7724990845,113.726600647
27.199.237.162,Malicious Host CN,36.0985984802,120.371902466
157.61.213.174,Malicious Host CN,,
223.130.31.57,Malicious Host IN,,
123.12.23.5,Malicious Host CN,34.6836013794,113.532501221
218.29.126.53,Malicious Host CN,34.6836013794,113.532501221
101.181.104.241,Malicious Host AU,-33.4939994812,143.210403442
27.38.61.120,Malicious Host CN,,
119.165.111.147,Malicious Host CN,,
178.18.254.229,Malicious Host DE,51.2993011475,9.49100017548
119.191.160.221,Malicious Host CN,36.0985984802,120.371902466
61.242.58.47,Malicious Host CN,,
181.199.170.222,Malicious Host AR,,
120.85.114.188,Malicious Host CN,,
178.72.76.2,Malicious Host RU,,
41.86.18.165,Malicious Host LR,6.5,-9.5
110.251.198.23,Malicious Host CN,34.7724990845,113.726600647
178.72.78.156,Malicious Host RU,,
61.242.54.214,Malicious Host CN,,
175.183.4.23,Malicious Host TW,23.5,121.0
61.219.98.43,Malicious Host TW,,
122.147.22.146,Malicious Host TW,,
118.161.210.248,Malicious Host TW,,
125.228.90.229,Malicious Host TW,23.5,121.0
220.133.64.233,Malicious Host TW,,
182.155.120.143,Malicious Host TW,23.5,121.0
222.253.45.141,Malicious Host VN,16.0,106.0
61.242.54.5,Malicious Host CN,,
120.193.91.190,Malicious Host CN,,
49.89.93.21,Malicious Host CN,32.0616989136,118.777801514
211.149.191.209,Malicious Host CN,34.7724990845,113.726600647
14.241.244.250,Malicious Host VN,16.0,106.0
120.86.238.188,Malicious Host CN,,
221.231.169.141,Malicious Host CN,32.0616989136,118.777801514
51.211.24.160,Malicious Host SA,25.0,45.0
61.152.197.56,Malicious Host CN,31.0456008911,121.39969635
157.61.213.179,Malicious Host CN,,
201.184.54.180,Malicious Host CO,4.59810018539,-74.0757980347
27.217.243.163,Malicious Host CN,,
157.61.212.111,Malicious Host CN,,
93.112.152.134,Malicious Host SA,25.0,45.0
